,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Giorgi Mamardashvili,Portero,22,Georgia,25.0
1,Jaume Doménech,Portero,32,España,1.0
2,Iago Herrerín,Portero,35,España,0.5
3,Emilio Bernad,Portero,23,España,0.3
4,Cristian Rivero,Portero,25,España,0.2
5,Charlie Pérez,Portero,21,España,25.0
6,Mouctar Diakhaby,Defensa central,26,Guinea,6.0
7,Cenk Özkacar,Defensa central,22,Turquía,5.0
8,Eray Cömert,Defensa central,25,Suiza,3.5
9,Gabriel Paulista,Defensa central,32,Brasil,2.5
10,Cristhian Mosquera,Defensa central,19,España,1.0
11,Rubén Iranzo,Defensa central,20,España,0.2
12,José Gayà,Lateral izquierdo,28,España,30.0
13,Jesús Vázquez,Lateral izquierdo,20,España,3.0
14,Toni Lato,Lateral izquierdo,25,España,2.5
15,Thierry Correia,Lateral derecho,24,Portugal,8.0
16,Dimitri Foulquier,Lateral derecho,30,Guadalupe,2.5
17,Hugo Guillamón,Pivote,23,España,14.0
18,Uroš Račić,Pivote,25,Serbia,6.5
19,Carlos Soler,Mediocentro,26,España,25.0
20,André Almeida,Mediocentro,23,Portugal,20.0
21,Yunus Musah,Mediocentro,20,Estados Unidos,18.0
22,Nico González,Mediocentro,21,España,10.0
23,Ilaix Moriba,Mediocentro,20,Guinea,4.0
24,Javi Guerra,Mediocentro,20,España,2.0
25,Koba Koindredi,Mediocentro,21,Francia,1.0
26,Tiago Ribeiro,Mediocentro,21,Portugal,0.2
27,Yellu Santiago,Mediocentro,19,España,0.1
28,Samuel Lino,Extremo izquierdo,23,Brasil,16.0
29,Justin Kluivert,Extremo izquierdo,24,Países Bajos,14.0
30,Diego López,Extremo izquierdo,21,España,1.5
31,Samu Castillejo,Extremo derecho,28,España,6.0
32,Fran Pérez,Extremo derecho,20,España,0.5
33,Manu Vallejo,Mediapunta,26,España,2.4
34,Maxi Gómez,Delantero centro,26,Uruguay,7.0
35,Hugo Duro,Delantero centro,23,España,4.0
36,Edinson Cavani,Delantero centro,36,Uruguay,3.0
37,Marcos André,Delantero centro,26,Brasil,2.5
38,Alberto Marí,Delantero centro,21,España,0.8
39,Mario Dominguez,Delantero centro,19,España,25.0
