,Temporada,Equipo,País,Comp,PJ,PG,PE,PP,GF,GC,DG,Pts,Asistencia,Posicion
0,2023-2024,Valencia,es ESP,1. La Liga,31,13,8,10,34,32,2,47,43679.0,7
1,2022-2023,Valencia,es ESP,1. La Liga,38,11,9,18,42,45,-3,42,40602.0,16
2,2021-2022,Valencia,es ESP,1. La Liga,38,11,15,12,48,53,-5,48,27349.0,9
3,2020-2021,Valencia,es ESP,1. La Liga,38,10,13,15,50,53,-3,43,142.0,13
4,2019-2020,Valencia,es ESP,1. La Liga,38,14,11,13,46,53,-7,53,29658.0,9
5,2018-2019,Valencia,es ESP,1. La Liga,38,15,16,7,51,35,16,61,39504.0,4
6,2017-2018,Valencia,es ESP,1. La Liga,38,22,7,9,65,38,27,73,38607.0,4
7,2016-2017,Valencia,es ESP,1. La Liga,38,13,7,18,56,65,-9,46,33866.0,12
8,2015-2016,Valencia,es ESP,1. La Liga,38,11,11,16,46,48,-2,44,37544.0,12
9,2014-2015,Valencia,es ESP,1. La Liga,38,22,11,5,70,32,38,77,44239.0,4
10,2013-2014,Valencia,es ESP,1. La Liga,38,13,10,15,51,53,-2,49,36435.0,8
11,2012-2013,Valencia,es ESP,1. La Liga,38,19,8,11,67,54,13,65,34658.0,5
12,2011-2012,Valencia,es ESP,1. La Liga,38,17,10,11,59,44,15,61,42116.0,3
13,2010-2011,Valencia,es ESP,1. La Liga,38,21,8,9,64,44,20,71,39963.0,3
14,2009-2010,Valencia,es ESP,1. La Liga,38,21,8,9,59,40,19,71,41221.0,3
15,2008-2009,Valencia,es ESP,1. La Liga,38,18,8,12,68,54,14,62,34789.0,6
16,2007-2008,Valencia,es ESP,1. La Liga,38,15,6,17,48,62,-14,51,39641.0,10
17,2006-2007,Valencia,es ESP,1. La Liga,38,20,6,12,57,42,15,66,40005.0,4
18,2005-2006,Valencia,es ESP,1. La Liga,38,19,12,7,58,33,25,69,36126.0,3
19,2004-2005,Valencia,es ESP,1. La Liga,38,14,16,8,54,39,15,58,43895.0,7
20,2003-2004,Valencia,es ESP,1. La Liga,38,23,8,7,71,27,44,77,45563.0,1
21,2002-2003,Valencia,es ESP,1. La Liga,38,17,9,12,56,35,21,60,45773.0,5
22,2001-2002,Valencia,es ESP,1. La Liga,38,21,12,5,51,27,24,75,45211.0,1
23,2000-2001,Valencia,es ESP,1. La Liga,38,18,9,11,55,34,21,63,42737.0,5
24,1999-2000,Valencia,es ESP,1. La Liga,38,18,10,10,59,39,20,64,45253.0,3
